DT,CLOSE,牛熊震荡_平滑_-1,牛熊震荡_平滑_0,牛熊震荡_平滑_1,流动性信号_-1,流动性信号_0,流动性信号_1,基本面信号_-1,基本面信号_0,基本面信号_1,胜率自算_-1,胜率自算_0,胜率自算_1,T_price:信号_-1,T_price:信号_0,T_price:信号_1,f_RSI_-1,f_RSI_0,f_RSI_1,反转信号_-1,反转信号_0,反转信号_1,CLOSE多头排列信号,CLOSE空头排列信号,close_RSI2>80,close_RSI2<20,close_RSI3>80,close_RSI3<20,close_RSI14>80,close_RSI14<20,CLOSE_aboveMA5,CLOSE_aboveMA10,CLOSE_aboveMA40,CLOSE_aboveMA200,神奇九转_高9,神奇九转_低9,bband_up_break,bband_down_break,Dir,Value,found,近60bar最大下行超1,低点抬高,上涨0.2,下跌0.2,检测到低点后高点到低点下降1,检测到低点后当前点高于最低点,检测到低点后当前点被前高支撑,检测到低点后和前最低点靠近,检测到低点后除去最低后还有相近低点,检测到低点后除去最低后还有2上相近低点,检测到低点后当前低点在之前的下引线附近,检测到低点后高点在之前最低点的左侧,检测到低点后和前最低相隔>=3K线,检测到低点后和前最低相隔>=5K线,通道宽度_宽_国债_10y,通道宽度_窄_国债_10y,价格角度30_45_国债_10y,形态_国债_10y_上升通道,形态_国债_10y_下降通道,压力线_国债_10y_上,压力线_国债_10y_下,支撑线_国债_10y_上,支撑线_国债_10y_下
2015-01-15,99.9704,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-16,100.3774,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-19,100.5819,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-20,100.6224,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-21,100.6633,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-22,100.7881,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-23,100.7842,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-26,100.9515,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-27,100.9241,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-28,100.5705,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,100.9515,2015-01-26,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-29,100.4018,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-01-30,100.3772,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-02-02,100.6171,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-1.0,100.3772,2015-01-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-02-03,100.7834,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-02-04,100.7474,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-02-05,101.1716,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
