DT,OPEN,HIGH,LOW,CLOSE,AMT,CLOSE多头排列信号,CLOSE空头排列信号,CLOSE_RSI2>80,CLOSE_RSI2<20,CLOSE_RSI3>80,CLOSE_RSI3<20,CLOSE_RSI14>80,CLOSE_RSI14<20,CLOSE_aboveMA5,CLOSE_aboveMA10,CLOSE_aboveMA40,CLOSE_aboveMA200,神奇九转_高9,神奇九转_低9,bband_up_break,bband_down_break,Dir,Value,found,近60bar最大下行超10,低点抬高,大阳线,大阴线,上涨3,下跌3,当前K线低点>昨天低点,当前K线高点>昨天高点,当前K线开盘介于昨天开盘和收盘之间,阳线,阴线,收盘明显高于最低,明显下引线,跳空后缺口不封闭,当前K线最高价<长下引线阴线最高价,当前K线最低价<长下引线阴线后所有线最低价,连续3天以上阴线且最高最低下移,长下引线阴线后所有线最高价<前一根最高价,长下引线阴线后第二根线最低价>下引线最低价,检测到低点后高点到低点下降10,检测到低点后当前点高于最低点,检测到低点后当前点被前高支撑,检测到低点后和前最低点靠近,检测到低点后除去最低后还有相近低点,检测到低点后除去最低后还有2上相近低点,检测到低点后当前低点在之前的下引线附近,检测到低点后高点在之前最低点的左侧,检测到低点后和前最低相隔>=5K线,检测到低点后和前最低相隔>=10K线
2009-01-05,192.0,192.75,190.95,191.91,722332480,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-06,188.0,188.6,185.85,187.17,2104194080,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,191.91,2009-01-05,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-07,186.01,189.8,186.01,189.51,1710414300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-08,189.0,190.5,185.1,187.23,2239474460,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-09,187.0,189.3,185.3,189.25,2189797380,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-12,187.77,188.26,187.21,187.83,599008400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-13,186.78,187.18,181.2,181.45,3602070080,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-14,181.3,183.25,181.2,182.97,1493547220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-15,182.16,182.59,179.21,180.22,1783864320,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-16,179.9,182.7,178.3,182.37,1878082760,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-19,185.4,185.5,184.51,185.22,1391094520,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-1.0,180.22,2009-01-15,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-20,184.51,184.79,182.6,182.87,1053754060,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-21,186.54,189.8,186.25,187.42,3580780460,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,,,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-22,187.9,188.3,186.6,187.86,1353176540,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,,,,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-01-23,187.8,189.15,186.5,188.43,2185376740,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-02-02,202.9,203.0,198.72,199.76,4564811680,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,,,,False,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-02-03,199.95,201.19,197.81,198.06,2306650960,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
